Customer Name,uid,business sector,location,phone number,national ID,passport,tin,gender,education level,business start date
James William,cca67301-ef3c-4496-b8fd-31847b7edd88,Agriculture,Fort Portal,+256723196874,78602628,U6482628,8900454,Female,University,2013-02-25
James Nansukusa,7a1c5730-b8e7-4774-8746-90a317b73a82,Services,Kampala,+256735895263,36028682,U1006980,7442154,Female,University,2009-02-22
Nansukusa Sarah,fb94fff4-9217-470f-9e80-12621dea6191,Fisheries,Lira,+256790291092,22644880,U3152513,2102298,Male,Vocational,2009-02-07
Bridget Namwalwa,ff0563dc-6006-4b4f-a88a-1e7b64adb040,Manufacturing,Kisoro,+256773437304,78654217,U3734663,9738952,Male,University,2016-04-15
William William,a185cde9-4893-42c0-bcad-fbcf101d2a77,Hospitality,Kampala,+256712698533,71758895,U4129268,4037967,Male,Primary,2013-03-15
Alice Sarah,41fa2589-59fa-4082-b6bb-86ec1e8c0c91,Agriculture,Kampala,+256769614162,93154661,U1837627,8301699,Male,University,2005-06-07
Nakinobe Sarah,434f554a-2aff-41d7-9189-031b334fb954,Retail,Bwindi,+256721593322,15399224,U2078046,3089422,Female,Secondary,2015-05-06
Florence Jane,284eafc3-9932-47ec-9627-e70f7a1e6bd0,Agriculture,Jinja,+256710529646,12830017,U5510103,6027876,Male,Vocational,2011-04-18
Sarah Sarah,62b6b9b8-5668-40e8-b816-851ac91c6e2c,Agriculture,Kampala,+256721073469,61142164,U5375344,1765664,Male,Secondary,2010-10-19
William Alice,f4989ac0-e243-4c66-966c-51c4286956bd,Retail,Kampala,+256727773063,13676227,U1917406,1971152,Male,University,2011-06-10
Alice Florence,9723b3d3-a250-4efa-bfa6-df225e65e1d6,Services,Bwindi,+256733551760,82505316,U9602130,6493729,Female,University,2016-05-25
Sarah William,8f07985b-11bc-4027-a2ab-9d6609ea6d81,Services,Kampala,+256760781737,71541949,U9545917,3480985,Male,Primary,2009-09-25
James Nakinobe,a1e503f0-d2d4-49f8-bf83-4245f04699cb,Retail,Fort Portal,+256735260909,92455411,U5723001,1264232,Male,University,2009-06-16
William Nansukusa,04a3b5bb-91a0-4189-bc84-6af5d664b7f4,Agriculture,Gulu,+256707677826,22836325,U6368513,7597225,Female,Secondary,2014-06-22
Nansukusa Nakinobe,aaab9d87-f3af-484e-9d8a-0a5ffee0e1b4,Fisheries,Bwindi,+256750346728,36187529,U3893098,5546807,Male,Primary,2020-03-09
Namwalwa Sarah,8ffbdbd6-bc27-49ce-a38c-46ce16981fd5,Manufacturing,Bwindi,+256753899553,64406267,U4447338,1117840,Male,Secondary,2012-02-16
Nakinobe Jane,ab11d2c8-a6ef-4ecd-91df-2b61278d9bdf,IT,Kampala,+256730344821,94870219,U5644644,1620159,Female,Vocational,2012-05-24
Sarah Sarah,bf5ab851-ce24-4a23-9447-a2a45c6d57d7,Hospitality,Gulu,+256731477311,88813594,U4323226,8775730,Male,University,2004-07-26
Jane Sarah,ffbcb234-de13-4014-9057-691112321f7c,IT,Fort Portal,+256753256943,84255098,U6851211,6354972,Female,University,2012-11-23
Bridget Alice,d00eddc3-4f17-423e-b27d-7eafdfe14411,Fisheries,Kisoro,+256761254517,63469255,U7407398,4413582,Male,University,2004-02-03
Sarah Sarah,53daa75c-28df-4d5c-89cc-0315aadbb60a,Manufacturing,Entebbe,+256789737810,99688969,U1007331,4894646,Male,Secondary,2020-12-08
Alice Florence,82364762-2308-44d8-8602-87291a86b9ec,Hospitality,Entebbe,+256760119703,89051565,U3496432,5979365,Female,Primary,2009-01-11
Nakinobe James,fb85e458-c0a6-48ef-b980-d3ec1cf0f5d1,Manufacturing,Jinja,+256768406106,22095324,U8270099,6236721,Female,Vocational,2013-09-28
